height velocity(m/s) Temperature(K)
128.0 10.2539257433 293.0
128.5 10.2579359968 293.0
129.0 10.2619306771 293.0
129.5 10.2659099049 293.0
130.0 10.2698737991 293.0
130.5 10.2738224774 293.0
131.0 10.2777560563 293.0
131.5 10.2816746508 293.0
132.0 10.2855783747 293.0
132.5 10.2894673402 293.0
133.0 10.2933416587 293.0
133.5 10.2972014401 293.0
134.0 10.3010467929 293.0
134.5 10.3048778248 293.0
135.0 10.3086946419 293.0
135.5 10.3124973494 293.0
136.0 10.3162860512 293.0
136.5 10.32006085 293.0
137.0 10.3238218477 293.0
137.5 10.3275691446 293.0
138.0 10.3313028403 293.0
138.5 10.3350230331 293.0
139.0 10.3387298204 293.0
139.5 10.3424232984 293.0
140.0 10.3461035623 293.0
140.5 10.3497707064 293.0
141.0 10.3534248239 293.0
141.5 10.3570660069 293.0
142.0 10.3606943468 293.0
142.5 10.3643099339 293.0
143.0 10.3679128573 293.0
143.5 10.3715032057 293.0
144.0 10.3750810663 293.0
144.5 10.3786465259 293.0
145.0 10.38219967 293.0
145.5 10.3857405835 293.0
146.0 10.3892693502 293.0
146.5 10.3927860532 293.0
147.0 10.3962907748 293.0
147.5 10.3997835962 293.0
148.0 10.403264598 293.0
148.5 10.40673386 293.0
149.0 10.4101914611 293.0
149.5 10.4136374793 293.0
150.0 10.4170719921 293.0
150.5 10.420495076 293.0
151.0 10.4239068068 293.0
151.5 10.4273072596 293.0
152.0 10.4306965087 293.0
152.5 10.4340746276 293.0
153.0 10.4374416893 293.0
153.5 10.4407977659 293.0
154.0 10.4441429289 293.0
154.5 10.4474772489 293.0
155.0 10.450800796 293.0
155.5 10.4541136398 293.0
156.0 10.4574158487 293.0
156.5 10.460707491 293.0
157.0 10.463988634 293.0
157.5 10.4672593445 293.0
158.0 10.4705196887 293.0
158.5 10.4737697319 293.0
159.0 10.4770095392 293.0
159.5 10.4802391747 293.0
160.0 10.4834587023 293.0
160.5 10.4866681848 293.0
161.0 10.4898676849 293.0
161.5 10.4930572644 293.0
162.0 10.4962369846 293.0
162.5 10.4994069064 293.0
163.0 10.5025670899 293.0
163.5 10.5057175947 293.0
164.0 10.50885848 293.0
164.5 10.5119898044 293.0
165.0 10.5151116258 293.0
165.5 10.5182240019 293.0
166.0 10.5213269894 293.0
166.5 10.524420645 293.0
167.0 10.5275050246 293.0
167.5 10.5305801837 293.0
168.0 10.5336461771 293.0
168.5 10.5367030595 293.0
169.0 10.5397508847 293.0
169.5 10.5427897063 293.0
170.0 10.5458195774 293.0
170.5 10.5488405504 293.0
171.0 10.5518526776 293.0
171.5 10.5548560105 293.0
172.0 10.5578506004 293.0
172.5 10.560836498 293.0
173.0 10.5638137537 293.0
173.5 10.5667824172 293.0
174.0 10.5697425382 293.0
174.5 10.5726941655 293.0
175.0 10.5756373478 293.0
175.5 10.5785721333 293.0
176.0 10.5814985698 293.0
176.5 10.5844167045 293.0
177.0 10.5873265846 293.0
177.5 10.5902282565 293.0
178.0 10.5931217665 293.0
178.5 10.5960071603 293.0
179.0 10.5988844833 293.0
179.5 10.6017537806 293.0
180.0 10.6046150967 293.0
180.5 10.6074684761 293.0
181.0 10.6103139625 293.0
181.5 10.6131515996 293.0
182.0 10.6159814305 293.0
182.5 10.618803498 293.0
183.0 10.6216178447 293.0
183.5 10.6244245126 293.0
184.0 10.6272235436 293.0
184.5 10.630014979 293.0
185.0 10.6327988601 293.0
185.5 10.6355752276 293.0
186.0 10.6383441219 293.0
186.5 10.6411055831 293.0
187.0 10.6438596511 293.0
187.5 10.6466063654 293.0
188.0 10.6493457651 293.0
188.5 10.652077889 293.0
189.0 10.6548027757 293.0
189.5 10.6575204635 293.0
190.0 10.6602309902 293.0
190.5 10.6629343936 293.0
191.0 10.665630711 293.0
191.5 10.6683199793 293.0
192.0 10.6710022355 293.0
192.5 10.6736775159 293.0
193.0 10.6763458567 293.0
193.5 10.6790072939 293.0
194.0 10.6816618631 293.0
194.5 10.6843095996 293.0
195.0 10.6869505385 293.0
195.5 10.6895847146 293.0
196.0 10.6922121626 293.0
196.5 10.6948329166 293.0
197.0 10.6974470107 293.0
197.5 10.7000544786 293.0
198.0 10.7026553539 293.0
198.5 10.7052496698 293.0
199.0 10.7078374593 293.0
199.5 10.7104187551 293.0
200.0 10.7129935898 293.0
200.5 10.7155619957 293.0
201.0 10.7181240047 293.0
201.5 10.7206796487 293.0
202.0 10.7232289592 293.0
202.5 10.7257719674 293.0
203.0 10.7283087046 293.0
203.5 10.7308392015 293.0
204.0 10.7333634888 293.0
204.5 10.7358815968 293.0
205.0 10.7383935558 293.0
205.5 10.7408993957 293.0
206.0 10.7433991462 293.0
206.5 10.7458928369 293.0
207.0 10.7483804971 293.0
207.5 10.7508621558 293.0
208.0 10.7533378421 293.0
208.5 10.7558075844 293.0
209.0 10.7582714114 293.0
209.5 10.7607293513 293.0
210.0 10.7631814321 293.0
210.5 10.7656276817 293.0
211.0 10.7680681278 293.0
211.5 10.7705027979 293.0
212.0 10.7729317191 293.0
212.5 10.7753549188 293.0
213.0 10.7777724236 293.0
213.5 10.7801842603 293.0
214.0 10.7825904555 293.0
214.5 10.7849910354 293.0
